,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,999.511719,-974.121094,-974.121094,999.511719,-765.136719,0.000000
1,999.511719,-974.121094,-974.121094,999.511719,-811.035156,0.003906
2,999.511719,-974.121094,-974.121094,999.511719,-36.621094,0.007812
3,999.511719,-974.121094,-974.121094,999.511719,441.894531,0.011719
4,-0.488281,-0.488281,-0.488281,-0.488281,-0.488281,0.015625
5,-0.488281,-0.488281,-0.488281,-0.488281,-1.953125,0.019531
6,36.621094,2.441406,2.929688,11.230469,12.695312,0.023438
7,-95.703125,-5.371094,-6.835938,-30.273438,-20.019531,0.027344
8,393.066406,28.320312,39.550781,136.230469,85.449219,0.031250
9,982.910156,80.078125,113.281250,311.035156,395.996094,0.035156
10,-126.464844,89.843750,124.511719,68.847656,376.464844,0.039062
11,-1000.000000,88.867188,119.628906,-145.019531,203.613281,0.042969
12,-429.199219,72.265625,106.933594,-47.851562,196.777344,0.059779
13,830.566406,55.175781,98.144531,236.328125,291.503906,0.063685
14,-948.242188,61.035156,102.050781,319.824219,387.695312,0.067591
15,-15.136719,80.566406,116.699219,99.121094,275.390625,0.071498
16,-1000.000000,82.519531,118.164062,-122.070312,57.128906,0.075404
17,-564.941406,71.777344,106.933594,-69.335938,10.742188,0.079310
18,672.851562,62.500000,94.726562,214.843750,166.992188,0.083216
19,-880.371094,61.035156,87.890625,317.871094,284.179688,0.087123
20,148.437500,78.613281,96.679688,105.468750,236.816406,0.091029
21,-1000.000000,88.378906,106.933594,-110.839844,35.644531,0.094935
22,-685.058594,73.730469,90.332031,-85.937500,-58.593750,0.098841
23,519.042969,56.152344,66.406250,169.921875,85.449219,0.102748
24,-854.003906,52.734375,63.476562,311.035156,198.242188,0.100117
25,305.664062,75.683594,84.960938,163.574219,138.671875,0.104023
26,-967.285156,91.796875,90.332031,-91.796875,-73.242188,0.107929
27,-796.875000,71.777344,75.195312,-128.417969,-173.339844,0.111835
28,382.324219,51.269531,60.058594,151.367188,-15.136719,0.115742
29,-855.468750,57.128906,49.316406,310.546875,167.480469,0.119648
30,478.027344,66.406250,58.105469,177.734375,177.246094,0.123554
31,-822.265625,58.105469,63.964844,-53.222656,2.929688,0.127460
32,-916.992188,42.968750,48.339844,-139.648438,-137.695312,0.131367
33,263.671875,44.921875,27.832031,92.773438,-33.203125,0.135273
34,-870.117188,55.664062,22.949219,311.035156,129.882812,0.139179
35,624.511719,83.496094,34.667969,214.355469,119.140625,0.143085
36,-631.347656,101.562500,62.988281,-25.390625,-52.246094,0.140162
37,-1000.000000,72.265625,66.406250,-141.113281,-236.816406,0.144068
38,107.421875,44.921875,44.433594,62.988281,-176.269531,0.147974
39,-885.742188,43.945312,38.574219,306.640625,19.042969,0.151881
40,715.332031,61.035156,48.339844,235.351562,44.921875,0.155787
41,-480.468750,74.218750,58.593750,-31.738281,-97.167969,0.159693
42,-1000.000000,71.777344,59.082031,-155.273438,-244.140625,0.163599
43,-52.246094,64.941406,39.062500,40.527344,-214.843750,0.167506
44,-924.804688,63.964844,26.367188,292.480469,-26.367188,0.171412
45,814.941406,74.218750,31.738281,261.718750,66.406250,0.175318
46,-321.289062,90.820312,50.292969,0.000000,-43.945312,0.179224
47,-1000.000000,88.378906,52.734375,-145.996094,-253.906250,0.183131
48,-242.675781,57.617188,27.832031,8.789062,-257.324219,0.200102
49,993.652344,56.152344,15.625000,250.488281,-32.714844,0.204008
50,913.574219,69.335938,22.949219,272.949219,86.914062,0.207914
51,-205.078125,83.007812,40.527344,23.925781,2.929688,0.211820
52,-1000.000000,93.750000,48.339844,-154.785156,-186.523438,0.215727
53,-411.132812,72.753906,28.808594,-32.226562,-249.023438,0.219633
54,859.375000,57.617188,14.648438,232.421875,-61.035156,0.223539
55,-981.933594,76.171875,21.972656,281.738281,48.339844,0.227445
56,-76.171875,85.937500,39.062500,57.617188,-46.386719,0.231352
57,-1000.000000,81.054688,46.875000,-145.996094,-243.164062,0.235258
58,-548.339844,71.289062,33.203125,-74.218750,-280.273438,0.239164
59,701.171875,56.640625,15.136719,210.937500,-70.312500,0.243070
60,-901.855469,59.082031,22.460938,291.503906,69.335938,0.240128
61,73.242188,78.613281,41.992188,90.332031,1.464844,0.244034
62,-1000.000000,80.078125,39.062500,-112.792969,-183.593750,0.247940
63,-660.156250,62.500000,21.972656,-100.097656,-281.250000,0.251847
64,548.828125,62.988281,8.789062,168.945312,-148.437500,0.255753
65,-856.933594,65.917969,12.695312,315.429688,32.226562,0.259659
66,258.789062,72.753906,33.203125,137.695312,12.695312,0.263565
67,-995.117188,76.171875,41.503906,-120.605469,-189.453125,0.267472
68,-771.972656,57.128906,26.367188,-134.765625,-273.437500,0.271378
69,408.691406,43.457031,13.183594,155.761719,-113.281250,0.275284
70,-854.003906,51.269531,17.578125,319.335938,38.574219,0.279190
71,430.175781,56.152344,28.808594,153.808594,65.429688,0.283097
72,-862.792969,54.687500,45.898438,-99.609375,-91.308594,0.280183
73,-895.019531,47.851562,41.503906,-140.625000,-247.070312,0.284090
74,279.296875,28.808594,18.554688,72.265625,-145.507812,0.287996
75,-862.304688,26.367188,13.671875,258.300781,30.761719,0.291902
76,567.871094,48.828125,29.785156,173.828125,72.265625,0.295808
77,-705.566406,72.753906,45.410156,-80.566406,-117.187500,0.299715
78,-1000.000000,57.617188,45.410156,-159.667969,-292.480469,0.303621
79,150.878906,22.949219,34.667969,62.988281,-177.734375,0.307527
80,-881.835938,21.484375,32.226562,272.460938,38.085938,0.311433
81,690.429688,46.386719,36.132812,183.105469,66.406250,0.315340
82,-524.414062,62.500000,50.292969,-65.429688,-102.539062,0.319246
83,-1000.000000,67.871094,53.222656,-159.667969,-269.531250,0.323152
84,2.929688,64.941406,31.738281,33.691406,-204.589844,0.340033
85,-915.527344,64.453125,22.460938,283.203125,2.929688,0.343939
86,798.339844,67.871094,32.714844,247.558594,61.035156,0.347845
87,-346.191406,73.730469,48.828125,-15.625000,-113.769531,0.351751
88,-1000.000000,62.500000,48.828125,-180.175781,-312.500000,0.355658
89,-174.804688,38.085938,27.343750,-38.085938,-299.316406,0.359564
90,-976.562500,44.921875,21.484375,241.210938,-120.117188,0.363470
91,896.484375,64.453125,24.414062,252.929688,6.347656,0.367376
92,-214.843750,72.753906,34.179688,-4.882812,-78.125000,0.371283
93,-1000.000000,65.429688,41.992188,-178.222656,-274.414062,0.375189
94,-349.609375,51.757812,24.414062,-55.664062,-251.464844,0.379095
95,914.550781,35.644531,6.347656,214.355469,-31.738281,0.383001
96,987.304688,22.949219,11.230469,266.601562,65.917969,0.379738
97,-111.328125,31.738281,32.226562,34.667969,-54.199219,0.383645
98,-1000.000000,39.062500,34.667969,-187.988281,-241.210938,0.387551
99,-504.394531,37.109375,24.902344,-93.750000,-280.273438,0.391457
100,750.000000,18.554688,20.019531,220.703125,-130.859375,0.395363
101,-918.945312,20.507812,21.972656,284.667969,33.203125,0.399270
102,38.574219,44.433594,39.062500,56.152344,0.976562,0.403176
103,-1000.000000,39.550781,43.945312,-151.855469,-215.820312,0.407082
104,-632.812500,23.925781,26.855469,-107.910156,-280.273438,0.410988
105,588.378906,16.601562,10.253906,169.433594,-100.585938,0.414895
106,-865.722656,27.343750,13.671875,284.667969,45.898438,0.418801
107,205.566406,33.203125,29.785156,110.839844,6.347656,0.422707
108,-1000.000000,25.878906,39.062500,-137.695312,-187.988281,0.420095
109,-739.746094,12.695312,28.808594,-145.996094,-284.667969,0.424002
110,442.382812,2.441406,16.113281,150.390625,-154.296875,0.427908
111,-852.539062,3.417969,21.972656,312.011719,6.347656,0.431814
112,390.136719,28.320312,38.085938,136.230469,15.625000,0.435720
