,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,-19.042969,19.531250,28.808594,33.203125,87.402344,0.000000
1,131.835938,16.601562,22.949219,75.683594,560.546875,0.003906
2,130.859375,22.949219,26.367188,41.503906,417.968750,0.007812
3,-11.718750,27.832031,31.738281,-15.136719,-114.746094,0.011719
4,-101.074219,33.203125,36.132812,-20.996094,-386.230469,0.015625
5,-30.273438,32.714844,33.691406,29.785156,-54.199219,0.019531
6,124.511719,28.808594,28.320312,83.496094,474.121094,0.023438
7,134.277344,26.367188,26.855469,59.570312,471.191406,0.027344
8,-0.488281,-0.488281,-0.488281,-0.488281,-0.488281,0.031250
9,-0.488281,0.000000,-0.488281,-0.488281,-2.441406,0.035156
10,4.882812,0.488281,0.488281,2.441406,31.738281,0.039062
11,-12.207031,-1.464844,-2.441406,-6.835938,-68.359375,0.042969
12,46.875000,7.324219,12.695312,29.296875,294.433594,0.055339
13,133.789062,16.601562,29.785156,65.429688,890.625000,0.059246
14,27.832031,21.972656,32.714844,11.230469,471.191406,0.063152
15,-118.164062,27.343750,34.179688,-32.226562,-53.222656,0.067058
16,-91.308594,24.902344,34.179688,4.882812,151.367188,0.070964
17,69.335938,24.414062,32.226562,67.382812,682.128906,0.074871
18,143.066406,20.507812,27.343750,62.988281,819.824219,0.078777
19,47.363281,18.066406,33.691406,10.253906,359.375000,0.082683
20,-100.585938,18.554688,39.062500,-33.203125,-135.742188,0.086589
21,-95.214844,20.019531,41.992188,-4.394531,-15.625000,0.090496
22,59.082031,30.273438,37.109375,65.429688,500.000000,0.094402
23,167.480469,38.574219,28.808594,88.378906,752.929688,0.098308
24,76.171875,33.691406,28.808594,26.855469,316.894531,0.095294
25,-95.703125,34.667969,35.644531,-39.550781,-231.445312,0.099200
26,-104.980469,37.597656,40.039062,-13.671875,-140.136719,0.103106
27,36.132812,28.320312,34.179688,51.757812,373.046875,0.107012
28,149.902344,19.042969,32.714844,75.683594,669.921875,0.110919
29,81.542969,16.113281,30.273438,27.343750,305.175781,0.114825
30,-82.519531,18.554688,29.296875,-35.644531,-271.972656,0.118731
31,-119.140625,18.066406,33.691406,-27.832031,-266.113281,0.122637
32,16.113281,28.808594,31.738281,39.550781,231.933594,0.126544
33,142.578125,29.296875,24.902344,71.289062,616.699219,0.130450
34,88.867188,28.808594,26.367188,23.437500,355.468750,0.134356
35,-57.617188,31.738281,30.273438,-32.226562,-216.796875,0.138262
36,-116.699219,15.625000,25.878906,-30.273438,-306.152344,0.135523
37,-14.160156,11.230469,23.925781,24.902344,149.902344,0.139430
38,138.671875,18.554688,18.554688,68.847656,629.882812,0.143336
39,118.164062,28.320312,17.578125,36.621094,442.382812,0.147242
40,-35.156250,33.691406,31.250000,-18.066406,-171.386719,0.151148
41,-113.769531,30.273438,33.691406,-25.390625,-384.277344,0.155055
