,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,21.484375,35.644531,17.089844,14.160156,15.625000,0.000000
1,31.738281,33.203125,14.648438,26.367188,21.972656,0.003906
2,33.691406,27.343750,34.179688,30.273438,28.808594,0.007812
3,-0.488281,-0.488281,-0.488281,-0.488281,-0.488281,0.011719
4,-0.488281,-0.488281,0.000000,0.000000,-1.464844,0.015625
5,1.464844,0.976562,0.976562,0.976562,10.742188,0.019531
6,-2.929688,-3.417969,-3.417969,-2.929688,-16.601562,0.023438
7,14.648438,15.136719,14.648438,16.601562,82.519531,0.027344
8,50.292969,39.062500,27.343750,45.898438,349.121094,0.031250
9,50.781250,34.179688,7.812500,46.386719,441.894531,0.035156
10,31.250000,38.574219,8.789062,42.968750,435.546875,0.039062
11,27.832031,38.574219,19.531250,45.410156,410.156250,0.042969
12,35.644531,28.320312,2.929688,40.039062,361.816406,0.060633
13,34.667969,23.437500,-11.230469,34.179688,339.843750,0.064539
14,42.968750,30.761719,12.207031,47.851562,323.730469,0.068446
15,38.085938,33.691406,27.343750,49.804688,274.902344,0.072352
16,19.531250,30.273438,20.507812,32.226562,270.507812,0.076258
17,19.531250,25.878906,20.507812,26.367188,262.695312,0.080164
18,35.644531,23.437500,8.789062,26.855469,234.375000,0.084071
19,39.550781,30.273438,-5.859375,29.785156,223.144531,0.087977
20,42.480469,37.109375,18.066406,41.992188,229.003906,0.091883
21,47.363281,35.644531,35.644531,40.039062,240.722656,0.095789
22,45.898438,24.902344,23.925781,33.203125,213.867188,0.099696
23,59.570312,25.878906,2.929688,71.289062,187.500000,0.103602
24,54.687500,31.738281,6.835938,69.824219,168.457031,0.100196
25,38.085938,29.296875,33.203125,28.320312,184.570312,0.104102
26,37.597656,31.738281,38.085938,35.156250,189.453125,0.108008
27,44.433594,29.785156,20.019531,42.480469,169.433594,0.111914
28,43.457031,22.460938,-7.812500,33.203125,147.460938,0.115821
29,41.503906,29.296875,-19.042969,43.457031,134.277344,0.119727
30,49.316406,33.203125,2.929688,52.246094,135.253906,0.123633
31,47.363281,24.414062,57.128906,30.761719,138.183594,0.127539
32,40.039062,21.972656,46.875000,30.761719,141.601562,0.131446
33,41.015625,22.949219,30.761719,51.757812,117.675781,0.135352
34,41.503906,27.343750,47.851562,43.945312,96.679688,0.139258
35,29.296875,33.203125,31.250000,26.367188,95.214844,0.143164
36,36.132812,35.644531,19.531250,33.203125,135.253906,0.140511
37,45.410156,36.621094,30.273438,30.761719,140.625000,0.144418
