AF7,timestamps
-508.301,0
-1000,0.004
-971.68,0.008
-517.09,0.012
0,0.016
0,0.02
-31.25,0.023
67.383,0.027
-374.023,0.031
-1000,0.035
-895.996,0.039
-472.168,0.043
-449.707,0.06
-846.191,0.064
-991.699,0.068
-907.227,0.072
-518.555,0.076
-418.457,0.08
-813.965,0.084
-986.816,0.088
-946.777,0.091
-592.773,0.095
-420.898,0.099
-793.945,0.103
-984.375,0.101
-949.707,0.105
-603.516,0.109
-371.582,0.112
-709.473,0.116
-961.914,0.12
-965.332,0.124
-664.062,0.128
-413.574,0.132
-729.492,0.136
-967.285,0.14
-989.746,0.144
-760.254,0.14
-423.34,0.144
-650.879,0.148
-935.547,0.152
-994.629,0.156
-770.508,0.16
-387.207,0.164
-582.031,0.168
-921.875,0.172
-994.629,0.176
-851.074,0.179
-478.027,0.183
-597.168,0.2
-931.152,0.204
-990.234,0.208
-881.836,0.212
-491.699,0.216
-493.652,0.22
-863.77,0.224
-994.629,0.227
-893.066,0.231
-492.188,0.235
-458.496,0.239
-858.887,0.243
-990.234,0.24
-930.664,0.244
-569.824,0.248
-475.098,0.252
-851.074,0.256
-991.699,0.26
-919.434,0.264
-534.18,0.267
-397.461,0.271
-786.133,0.275
-977.051,0.279
-960.938,0.283
-630.371,0.282
-408.691,0.286
-770.02,0.29
-979.98,0.294
-979.004,0.298
-678.223,0.301
-387.695,0.305
-709.473,0.309
-961.914,0.313
-983.887,0.317
-734.375,0.321
-415.039,0.325
-674.316,0.34
-950.195,0.344
-994.141,0.348
-814.453,0.352
-444.336,0.356
-613.281,0.36
-931.641,0.364
-994.141,0.368
-854.98,0.371
-479.004,0.375
-576.172,0.379
-910.156,0.383
-994.141,0.38
-871.582,0.384
-476.074,0.388
-520.996,0.392
-889.648,0.396
-990.723,0.4
-907.715,0.404
-528.32,0.407
-508.789,0.411
-881.348,0.415
-989.258,0.419
-913.086,0.423
-523.926,0.42
-427.734,0.424
-816.895,0.428
-983.398,0.432
-947.754,0.436
-570.312,0.44
-399.414,0.443
-791.504,0.447
-977.539,0.451
-973.633,0.455
-646.973,0.459
-431.641,0.463
-786.133,0.48
-974.121,0.484
-977.539,0.488
-688.477,0.492
-404.297,0.496
-678.711,0.5
-931.641,0.504
-994.629,0.507
-757.324,0.511
-444.336,0.515
-704.59,0.519
-962.402,0.523
-993.652,0.522
-808.105,0.526
-451.66,0.53
-627.93,0.534
-929.199,0.538
-995.117,0.541
-814.453,0.545
-437.012,0.549
-576.172,0.553
-914.062,0.557
-990.234,0.561
-893.066,0.565
-520.508,0.56
-551.758,0.564
-900.391,0.568
-992.188,0.572
-894.531,0.576
-481.445,0.58
-441.406,0.583
-841.309,0.587
-989.258,0.591
-921.387,0.595
-544.434,0.599
-458.984,0.603
-841.797,0.62
-983.887,0.624
-953.613,0.628
-614.258,0.632
-452.148,0.636
-799.316,0.64
-976.562,0.644
-953.125,0.647
-612.305,0.651
-408.691,0.655
-750.488,0.659
-959.473,0.663
-985.84,0.66
-708.984,0.664
-438.477,0.668
-737.793,0.672
-966.797,0.676
-981.445,0.68
-718.262,0.683
-408.203,0.687
-676.758,0.691
-947.266,0.695
-990.723,0.699
-794.922,0.703
-442.871,0.703
-624.512,0.707
-928.223,0.711
-994.141,0.715
-856.934,0.719
-470.703,0.723
-580.566,0.727
-925.781,0.731
-992.676,0.735
-878.906,0.738
-497.07,0.742
-530.273,0.746
-886.23,0.762
-993.164,0.766
-886.23,0.77
-508.301,0.774
-509.277,0.778
-871.582,0.781
-985.84,0.785
-929.688,0.789
-566.406,0.793
-480.957,0.797
-849.121,0.801
-986.328,0.805
-938.477,0.8
-575.684,0.804
-433.105,0.808
-802.734,0.812
-980.957,0.816
-946.777,0.82
-599.121,0.824
-422.852,0.827
-791.504,0.831
-977.051,0.835
-979.492,0.839
-693.359,0.843
-426.758,0.84
-736.816,0.844
-961.914,0.848
-985.84,0.852
-742.676,0.856
-414.062,0.86
-645.508,0.863
-928.711,0.867
-996.094,0.871
-817.383,0.875
-481.445,0.879
-663.086,0.883
-944.824,0.9
-993.164,0.904
-857.422,0.908
-490.723,0.912
-580.566,0.916
-898.438,0.92
-992.676,0.923
-877.441,0.927
-494.629,0.931
-547.363,0.935
-902.344,0.939
-987.793,0.943
-916.992,0.941
-550.781,0.945
-510.254,0.949
-859.375,0.953
-987.793,0.957
-911.621,0.961
-517.578,0.964
-450.195,0.968
-835.449,0.972
-982.422,0.976
-946.289,0.98
-587.891,0.984
-449.707,0.982
-815.43,0.986
-971.68,0.99
-972.656,0.994
-661.621,0.998
-427.246,1.002
-745.117,1.005
-958.496,1.009
-980.469,1.013
-689.453,1.017
-426.27,1.021
-724.121,1.025
-951.66,1.04
-991.699,1.044
-764.16,1.048
-458.496,1.052
-690.918,1.056
-937.5,1.06
-993.652,1.063
-806.152,1.067
-462.402,1.071
-630.859,1.075
-921.387,1.079
-995.605,1.083
