,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,-404.296875,-804.199219,-685.058594,624.023438,-801.269531,0.000000
1,206.542969,-918.945312,-680.175781,-797.363281,-480.957031,0.003906
2,-313.476562,-815.917969,-813.476562,117.675781,-642.578125,0.007812
3,-1000.000000,-635.742188,-868.164062,-1000.000000,-895.019531,0.011719
4,-976.562500,-621.093750,-829.589844,-878.417969,-1000.000000,0.015625
5,-592.773438,-765.136719,-663.085938,394.042969,-788.085938,0.019531
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.023438
7,-0.488281,0.976562,-0.488281,-12.695312,-0.976562,0.027344
8,-28.320312,-23.437500,-17.089844,37.597656,-23.437500,0.031250
9,134.765625,39.062500,36.621094,-41.015625,56.152344,0.035156
10,-590.820312,-237.792969,-232.421875,26.367188,-307.128906,0.039062
11,-30.761719,-819.824219,-603.515625,776.855469,-768.554688,0.042969
12,493.164062,-979.003906,-695.312500,-833.496094,-512.695312,0.039991
13,-981.445312,-801.757812,-811.035156,96.679688,-418.945312,0.043897
14,-939.941406,-580.078125,-835.937500,-1000.000000,-789.062500,0.047804
15,-1000.000000,-547.851562,-717.773438,-775.878906,-867.187500,0.051710
16,-79.589844,-762.695312,-619.140625,530.273438,-737.792969,0.055616
17,589.355469,-943.847656,-675.292969,-780.761719,-436.035156,0.059522
18,-914.062500,-813.476562,-763.183594,166.503906,-234.863281,0.063429
19,-962.402344,-622.558594,-831.542969,-1000.000000,-774.902344,0.067335
20,-1000.000000,-553.222656,-674.804688,-852.050781,-809.570312,0.071241
21,-121.093750,-719.238281,-521.972656,431.152344,-461.425781,0.075147
22,792.968750,-943.359375,-687.988281,-763.183594,-533.691406,0.079054
23,-726.562500,-845.214844,-853.027344,178.710938,-485.839844,0.082960
24,-1000.000000,-611.816406,-851.562500,-1000.000000,-663.085938,0.099983
25,-1000.000000,-540.527344,-707.519531,-1000.000000,-798.828125,0.103889
26,-288.574219,-724.121094,-619.140625,49.316406,-844.726562,0.107795
27,966.796875,-965.332031,-700.195312,-757.812500,-722.167969,0.111701
28,-420.410156,-903.320312,-826.660156,272.949219,-504.882812,0.115608
29,-1000.000000,-637.695312,-833.984375,-980.957031,-640.136719,0.119514
30,-1000.000000,-520.507812,-697.753906,-1000.000000,-774.902344,0.123420
31,-495.117188,-666.015625,-541.992188,-14.160156,-579.589844,0.127326
32,-977.539062,-930.175781,-641.113281,-773.437500,-567.382812,0.131233
33,-122.070312,-927.246094,-826.171875,388.671875,-579.101562,0.135139
34,-1000.000000,-678.710938,-882.812500,-902.343750,-770.019531,0.139045
35,-1000.000000,-540.527344,-804.687500,-1000.000000,-972.167969,0.142951
36,-706.542969,-667.968750,-657.226562,-177.246094,-928.222656,0.140316
37,895.019531,-919.921875,-686.523438,-827.636719,-791.503906,0.144222
38,99.121094,-952.148438,-812.011719,580.566406,-523.437500,0.148128
39,-1000.000000,-717.285156,-844.238281,-769.531250,-579.101562,0.152034
40,-953.125000,-540.039062,-763.183594,-1000.000000,-793.457031,0.155941
41,-946.289062,-627.929688,-621.582031,-197.265625,-740.234375,0.159847
42,593.750000,-866.699219,-635.253906,-881.835938,-624.023438,0.163753
43,274.902344,-930.175781,-794.921875,776.367188,-485.839844,0.167659
44,-1000.000000,-725.097656,-866.699219,-553.710938,-568.359375,0.171566
45,-922.363281,-572.753906,-833.984375,-1000.000000,-962.402344,0.175472
46,-1000.000000,-617.187500,-605.957031,-217.285156,-699.707031,0.179378
47,328.125000,-847.656250,-571.777344,-938.964844,-493.652344,0.183284
48,349.121094,-967.773438,-796.386719,933.105469,-574.707031,0.180049
49,-1000.000000,-752.929688,-884.765625,-314.941406,-616.210938,0.183955
50,-910.156250,-561.035156,-859.375000,-1000.000000,-919.921875,0.187861
51,-1000.000000,-608.886719,-703.125000,-388.183594,-958.496094,0.191767
52,109.863281,-848.632812,-639.160156,929.199219,-843.261719,0.195674
53,346.191406,-973.144531,-715.332031,-916.015625,-484.375000,0.199580
54,-1000.000000,-770.019531,-782.226562,-60.546875,-350.097656,0.203486
55,-908.203125,-570.800781,-830.566406,-1000.000000,-815.429688,0.207392
56,-1000.000000,-569.335938,-678.710938,-458.496094,-820.800781,0.211299
57,-35.644531,-777.343750,-572.265625,870.117188,-555.175781,0.215205
58,418.457031,-979.980469,-753.906250,-860.351562,-584.960938,0.219111
59,-1000.000000,-827.636719,-864.257812,63.964844,-573.242188,0.223017
60,-929.199219,-604.980469,-866.699219,-1000.000000,-851.074219,0.239963
61,-1000.000000,-585.449219,-738.769531,-776.855469,-958.984375,0.243870
62,-75.683594,-783.691406,-642.089844,528.808594,-839.355469,0.247776
63,565.917969,-973.144531,-737.304688,-782.714844,-663.085938,0.251682
64,-930.175781,-838.378906,-844.238281,144.042969,-527.343750,0.255588
65,-957.031250,-602.539062,-846.191406,-1000.000000,-761.718750,0.259495
66,-1000.000000,-541.503906,-687.988281,-854.003906,-775.878906,0.263401
67,-129.882812,-719.726562,-552.734375,423.828125,-497.070312,0.267307
68,755.371094,-955.078125,-710.449219,-762.695312,-546.386719,0.271213
69,-759.277344,-856.933594,-860.839844,164.062500,-516.601562,0.275120
70,-993.164062,-620.117188,-865.234375,-1000.000000,-689.453125,0.279026
71,-1000.000000,-560.058594,-765.625000,-1000.000000,-974.609375,0.282932
72,-313.476562,-729.980469,-640.625000,41.992188,-992.675781,0.279952
73,913.574219,-963.378906,-698.730469,-755.859375,-819.335938,0.283859
74,-471.679688,-899.902344,-828.613281,234.375000,-586.914062,0.287765
75,-1000.000000,-651.367188,-885.253906,-987.304688,-789.062500,0.291671
76,-1000.000000,-543.945312,-790.039062,-1000.000000,-983.886719,0.295577
77,-516.113281,-683.105469,-623.535156,-84.960938,-834.960938,0.299484
78,973.632812,-916.503906,-650.390625,-778.808594,-576.171875,0.303390
79,-185.058594,-900.390625,-803.710938,387.207031,-480.957031,0.307296
80,-1000.000000,-685.058594,-880.371094,-918.945312,-779.785156,0.311202
81,-992.675781,-559.570312,-808.105469,-1000.000000,-1000.000000,0.315109
82,-777.343750,-645.507812,-581.542969,-139.648438,-680.664062,0.319015
83,805.175781,-884.765625,-614.257812,-813.476562,-529.785156,0.322921
84,77.148438,-916.992188,-820.800781,548.339844,-557.617188,0.319904
85,-1000.000000,-684.082031,-859.863281,-796.875000,-652.832031,0.323810
86,-935.546875,-549.804688,-799.316406,-1000.000000,-923.828125,0.327717
87,-998.535156,-657.226562,-658.203125,-213.378906,-949.707031,0.331623
88,497.070312,-901.367188,-651.855469,-874.511719,-809.570312,0.335529
89,232.421875,-942.871094,-759.277344,743.164062,-444.335938,0.339435
90,-1000.000000,-705.566406,-832.519531,-611.816406,-527.832031,0.343342
91,-900.878906,-546.875000,-853.515625,-1000.000000,-1000.000000,0.347248
92,-1000.000000,-594.726562,-645.019531,-232.421875,-751.953125,0.351154
93,189.941406,-815.917969,-550.292969,-922.851562,-464.355469,0.355060
94,304.687500,-936.035156,-750.000000,868.164062,-555.175781,0.358967
95,-1000.000000,-750.488281,-857.910156,-428.222656,-715.820312,0.362873
96,-901.855469,-573.730469,-844.238281,-1000.000000,-959.960938,0.380456
97,-1000.000000,-611.328125,-708.496094,-418.945312,-979.980469,0.384362
98,-14.160156,-828.613281,-648.437500,933.105469,-876.953125,0.388269
99,311.035156,-942.382812,-759.277344,-975.585938,-581.054688,0.392175
100,-1000.000000,-756.835938,-833.496094,-205.078125,-460.937500,0.396081
101,-916.015625,-568.847656,-817.871094,-1000.000000,-780.761719,0.399987
102,-1000.000000,-572.265625,-639.160156,-488.769531,-725.097656,0.403894
103,-61.035156,-772.460938,-538.085938,856.445312,-458.984375,0.407800
104,365.234375,-941.406250,-722.656250,-897.460938,-513.671875,0.411706
