,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,-431.152344,-795.898438,-805.175781,53.222656,-573.730469,0.000000
1,-1000.000000,-625.488281,-873.046875,-1000.000000,-912.109375,0.003906
2,-984.863281,-630.859375,-820.800781,-738.769531,-1000.000000,0.007812
3,-511.718750,-789.550781,-675.781250,579.589844,-800.292969,0.011719
4,78.125000,-908.691406,-650.390625,-786.132812,-403.320312,0.015625
5,-465.332031,-794.433594,-756.835938,141.113281,-417.480469,0.019531
6,-1000.000000,-607.910156,-807.128906,-1000.000000,-689.941406,0.023438
7,-981.933594,-604.492188,-818.359375,-936.523438,-977.539062,0.027344
8,-685.546875,-759.277344,-679.687500,293.945312,-808.105469,0.031250
9,-142.089844,-881.347656,-583.496094,-753.417969,-225.097656,0.035156
10,-421.875000,-819.335938,-754.882812,156.250000,-433.105469,0.039062
11,-959.472656,-653.808594,-876.464844,-1000.000000,-901.855469,0.042969
12,-1000.000000,-608.886719,-848.144531,-1000.000000,-995.605469,0.060762
13,-732.910156,-747.070312,-697.265625,50.781250,-875.976562,0.064668
14,12.207031,-904.296875,-644.042969,-752.929688,-608.886719,0.068574
15,-230.468750,-853.027344,-777.832031,226.074219,-590.820312,0.072480
16,-949.218750,-661.621094,-854.003906,-986.816406,-834.960938,0.076387
17,-1000.000000,-581.054688,-808.593750,-1000.000000,-950.683594,0.080293
18,-811.523438,-706.542969,-662.597656,-97.167969,-800.292969,0.084199
19,-290.039062,-863.769531,-555.664062,-774.902344,-252.441406,0.088105
20,-362.792969,-852.050781,-694.335938,330.078125,-235.839844,0.092012
21,-891.601562,-690.917969,-858.886719,-942.382812,-831.054688,0.095918
22,-1000.000000,-599.609375,-854.980469,-1000.000000,-984.375000,0.099824
23,-833.496094,-711.914062,-729.492188,-195.800781,-968.261719,0.103730
24,-132.324219,-883.300781,-642.089844,-812.988281,-705.566406,0.100427
25,-124.511719,-888.183594,-749.511719,487.304688,-529.296875,0.104333
