,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,35.644531,15.625000,19.042969,131.835938,16.601562,0.000000
1,624.511719,-0.488281,8.789062,409.179688,700.195312,0.003906
2,383.789062,11.230469,29.785156,144.042969,491.699219,0.007812
3,-308.105469,32.714844,53.710938,-270.507812,-277.832031,0.011719
4,-555.175781,38.574219,54.199219,-304.199219,-629.394531,0.015625
5,-56.640625,25.878906,28.808594,70.312500,-50.781250,0.019531
6,589.843750,23.437500,17.089844,395.507812,716.308594,0.023438
7,444.824219,30.273438,27.832031,182.617188,625.976562,0.027344
8,-218.261719,34.179688,48.339844,-238.281250,-163.574219,0.031250
9,-0.488281,-0.488281,-0.488281,-0.488281,-0.488281,0.035156
10,0.488281,0.000000,-0.488281,0.488281,-0.976562,0.039062
11,14.160156,0.000000,0.488281,5.859375,29.296875,0.042969
12,-55.664062,-0.488281,-0.976562,-29.296875,-85.449219,0.054216
13,229.492188,2.441406,4.882812,116.699219,368.652344,0.058122
14,210.449219,9.277344,31.738281,38.574219,652.343750,0.062028
15,-397.949219,7.812500,48.339844,-315.429688,-11.230469,0.065934
16,-423.828125,8.300781,41.992188,-237.792969,-143.066406,0.069841
17,92.773438,9.765625,31.738281,128.906250,437.011719,0.073747
18,524.414062,-6.835938,22.460938,318.847656,985.351562,0.077653
19,234.863281,-4.882812,30.273438,40.039062,665.039062,0.081559
20,-335.937500,7.812500,45.410156,-286.621094,-90.820312,0.085466
21,-433.105469,6.347656,42.968750,-238.769531,-305.664062,0.089372
22,18.554688,17.089844,33.691406,91.796875,264.648438,0.093278
23,523.437500,13.671875,27.343750,337.890625,880.859375,0.097184
24,328.613281,11.230469,29.296875,116.210938,666.015625,0.094835
25,-228.027344,14.648438,48.828125,-227.050781,-61.523438,0.098742
26,-423.828125,19.531250,52.734375,-241.699219,-353.027344,0.102648
27,-28.320312,38.085938,27.343750,61.035156,125.000000,0.106554
28,527.343750,40.527344,10.742188,339.355469,751.953125,0.110460
29,427.246094,32.714844,25.878906,180.664062,650.878906,0.114367
30,-119.628906,40.527344,52.246094,-163.574219,-66.406250,0.118273
31,-417.968750,68.359375,46.386719,-253.417969,-486.816406,0.122179
32,-89.355469,70.312500,6.347656,17.578125,-48.339844,0.126085
33,479.980469,62.988281,-8.789062,324.218750,679.687500,0.129992
34,461.914062,67.382812,0.976562,209.960938,692.382812,0.133898
35,-74.707031,71.289062,6.835938,-146.972656,-9.765625,0.137804
36,-439.941406,78.125000,13.183594,-275.390625,-527.343750,0.154181
37,-143.066406,72.265625,6.347656,-8.789062,-201.660156,0.158087
38,439.941406,54.687500,-2.929688,313.476562,541.992188,0.161994
39,517.578125,47.363281,-3.417969,257.324219,701.171875,0.165900
40,14.648438,46.386719,2.441406,-91.308594,50.781250,0.169806
41,-424.804688,51.757812,13.671875,-282.226562,-553.222656,0.173712
42,-196.777344,39.062500,8.300781,-50.781250,-272.949219,0.177619
43,375.000000,13.671875,-1.464844,289.550781,465.332031,0.181525
44,551.269531,14.160156,1.953125,292.480469,707.031250,0.185431
45,104.003906,30.761719,16.113281,-46.875000,160.644531,0.189337
46,-391.601562,23.925781,22.949219,-287.109375,-535.156250,0.193244
47,-250.000000,11.718750,13.671875,-100.097656,-427.734375,0.197150
48,308.593750,22.460938,-0.976562,241.210938,312.500000,0.194267
49,592.773438,29.785156,-9.277344,301.757812,725.585938,0.198173
50,175.781250,33.691406,-1.953125,-26.367188,201.660156,0.202080
51,-366.699219,27.343750,15.625000,-304.199219,-548.828125,0.205986
52,-283.691406,34.179688,17.089844,-150.390625,-491.699219,0.209892
53,232.421875,47.851562,-2.441406,189.453125,219.726562,0.213798
54,589.843750,43.945312,-8.300781,325.195312,721.191406,0.217705
55,248.535156,38.574219,9.277344,38.574219,288.085938,0.221611
56,-326.660156,26.855469,20.996094,-275.878906,-418.457031,0.225517
57,-344.726562,29.785156,15.625000,-182.617188,-476.074219,0.229423
58,150.878906,38.574219,4.394531,163.085938,144.042969,0.233330
59,584.960938,40.039062,4.882812,361.328125,712.890625,0.237236
60,294.921875,50.292969,17.578125,99.609375,354.492188,0.234174
61,-280.761719,58.105469,30.761719,-234.375000,-375.976562,0.238080
62,-385.742188,45.898438,30.761719,-195.800781,-514.160156,0.241986
63,60.058594,33.691406,12.695312,134.277344,105.468750,0.245893
64,564.941406,16.113281,15.625000,379.394531,708.007812,0.249799
