,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,191.406250,31.250000,20.507812,78.613281,129.882812,0.000000
1,418.457031,20.996094,11.230469,56.152344,71.777344,0.003906
2,164.062500,29.785156,17.089844,-4.882812,-37.109375,0.007812
3,-252.929688,40.039062,26.367188,-13.183594,-58.105469,0.011719
4,-264.648438,41.015625,27.832031,50.292969,14.648438,0.015625
5,146.972656,28.808594,19.531250,87.402344,98.144531,0.019531
6,409.179688,21.972656,13.183594,57.128906,72.753906,0.023438
7,212.890625,28.320312,23.437500,6.347656,-54.199219,0.027344
8,-217.285156,33.203125,32.226562,2.929688,-78.613281,0.031250
9,-304.199219,36.621094,28.320312,43.945312,2.441406,0.035156
10,0.000000,-0.488281,-0.488281,0.000000,0.000000,0.039062
11,1.464844,-0.488281,0.000000,-0.488281,-1.953125,0.042969
12,-10.253906,0.976562,1.464844,-0.976562,1.953125,0.034330
13,9.765625,-2.929688,-4.394531,2.441406,8.300781,0.038237
14,-40.039062,15.136719,20.507812,-11.230469,-35.644531,0.042143
15,-349.609375,39.550781,45.898438,-12.695312,126.953125,0.046049
16,-333.007812,31.738281,28.808594,18.554688,400.878906,0.049955
17,167.480469,21.972656,15.136719,10.253906,439.941406,0.053862
18,410.644531,10.253906,4.394531,-48.828125,310.058594,0.057768
19,138.183594,39.550781,51.269531,-40.527344,129.882812,0.061674
20,-317.871094,60.058594,75.195312,-4.882812,105.468750,0.065580
21,-369.140625,20.019531,30.761719,-5.371094,241.699219,0.069487
22,87.890625,-6.835938,3.906250,-2.929688,296.875000,0.073393
23,402.343750,-3.417969,0.976562,-29.785156,183.105469,0.077299
24,180.175781,30.273438,33.691406,-50.292969,8.300781,0.093365
25,-298.339844,59.570312,54.687500,-4.882812,11.718750,0.097272
26,-391.113281,45.898438,40.527344,49.316406,126.953125,0.101178
27,22.949219,1.464844,2.441406,12.695312,220.703125,0.105084
28,385.742188,-8.789062,-5.371094,-14.648438,151.855469,0.108990
29,249.511719,33.203125,45.410156,-11.718750,-47.851562,0.112897
30,-238.281250,57.128906,80.566406,0.000000,-113.281250,0.116803
31,-431.640625,28.808594,40.039062,6.835938,30.273438,0.120709
32,-51.269531,-5.371094,-3.417969,14.160156,155.761719,0.124615
33,358.398438,-12.207031,-8.300781,-14.160156,90.820312,0.128522
34,277.832031,20.507812,30.273438,-54.199219,-115.234375,0.132428
35,-206.054688,49.804688,61.035156,-33.691406,-206.542969,0.136334
36,-427.734375,36.132812,40.039062,-8.789062,-54.687500,0.133357
37,-84.472656,3.417969,1.953125,-3.417969,121.582031,0.137264
38,353.027344,-1.953125,-16.113281,-29.296875,96.191406,0.141170
39,317.871094,26.367188,8.789062,-48.339844,-80.566406,0.145076
40,-150.390625,55.664062,50.292969,-6.835938,-172.851562,0.148982
41,-408.691406,59.570312,62.011719,36.621094,-69.824219,0.152889
42,-128.906250,23.437500,23.925781,21.484375,70.312500,0.156795
43,339.843750,-5.371094,-6.835938,-13.671875,56.640625,0.160701
44,373.046875,16.601562,12.207031,-34.179688,-106.445312,0.164607
45,-57.128906,60.546875,67.871094,-7.324219,-275.390625,0.168514
46,-386.718750,58.105469,62.011719,25.390625,-194.335938,0.172420
47,-202.148438,14.160156,6.835938,16.113281,6.347656,0.176326
48,285.644531,-12.207031,-16.601562,-28.320312,-27.343750,0.172989
49,400.390625,6.347656,-0.488281,-51.269531,-153.320312,0.176895
50,-8.789062,46.386719,43.457031,-28.808594,-213.378906,0.180801
51,-396.972656,50.292969,45.410156,0.000000,-125.976562,0.184707
52,-241.699219,30.761719,13.671875,22.949219,16.601562,0.188614
53,253.417969,10.253906,0.488281,6.347656,41.015625,0.192520
54,409.667969,12.207031,8.789062,-25.390625,-97.167969,0.196426
55,47.851562,49.804688,46.386719,-29.296875,-286.621094,0.200332
56,-375.000000,46.875000,58.593750,-11.718750,-218.261719,0.204239
57,-306.152344,11.718750,18.554688,3.417969,-32.714844,0.208145
